locationID1,locationType1,locationID2,locationType2,distance
1,VND,160,VND,7.467986563
1,VND,48,VND,10.21660083
1,VND,31355,LMD,11.53425899
1,VND,154,VND,26.07910135
1,VND,133,VND,29.68985083
1,VND,140,VND,30.83184411
1,VND,87,VND,30.97731937
1,VND,20,VND,33.48613483
1,VND,173,VND,33.51753144
1,VND,73,VND,38.05511319
1,VND,42,VND,41.24281402
1,VND,175,VND,41.4935058
1,VND,116,VND,42.33381097
1,VND,263,VND,44.62596477
1,VND,43,VND,45.04231248
1,VND,61,VND,46.95001965
1,VND,59,VND,48.53514481
1,VND,47,VND,49.92095575
1,VND,18,VND,53.58234554
1,VND,230,VND,53.92636877
1,VND,101,VND,57.54030726
1,VND,124,VND,58.19938476
1,VND,131,VND,58.69895749
1,VND,165,VND,59.85039351
1,VND,198,VND,63.76219192
1,VND,31454,LMD,64.27286124
1,VND,212,VND,66.76528872
1,VND,231,VND,67.96908703
1,VND,1001,FC,68.02104244
1,VND,167,VND,68.02104244
1,VND,2,VND,72.84952536
1,VND,31426,LMD,73.16734193
1,VND,8,VND,74.09761912
1,VND,79,VND,74.66635511
1,VND,300,VND,75.88576111
1,VND,31376,LMD,82.80520693
1,VND,254,VND,91.73060289
1,VND,242,VND,101.3737374
1,VND,297,VND,103.621276
1,VND,31414,LMD,131.0878592
1,VND,129,VND,142.0810346
1,VND,143,VND,157.2829168
1,VND,146,VND,176.9387321
1,VND,31377,LMD,186.2699693
1,VND,391,VND,202.0903937
1,VND,206,VND,221.2903153
1,VND,241,VND,222.2927803
1,VND,361,VND,225.5779341
1,VND,24,VND,231.9197975
1,VND,31425,LMD,243.9010214
1,VND,31342,LMD,273.4335343
1,VND,431,VND,275.0207162
1,VND,398,VND,289.0966602
1,VND,234,VND,296.7904641
1,VND,195,VND,297.8177002
1,VND,34,VND,299.8455449
1,VND,41,VND,308.7950914
1,VND,103,VND,311.5928143
1,VND,31351,LMD,320.7185168
1,VND,3,VND,333.4692676
1,VND,505,VND,336.8769251
1,VND,31434,LMD,341.1632969
1,VND,193,VND,354.7357724
1,VND,202,VND,358.1426689
1,VND,388,VND,362.490408
1,VND,208,VND,362.6219745
1,VND,413,VND,366.2910158
1,VND,31433,LMD,369.475284
1,VND,109,VND,370.6735637
1,VND,328,VND,372.7212919
1,VND,31418,LMD,374.3557744
1,VND,451,VND,377.5539364
1,VND,156,VND,378.3380245
1,VND,312,VND,384.3740099
1,VND,259,VND,419.5738282
1,VND,31472,LMD,442.9263694
1,VND,31404,LMD,452.8659741
1,VND,471,VND,454.6753812
1,VND,31415,LMD,485.1314413
1,VND,31386,LMD,509.8668398
1,VND,35,VND,554.9055713
1,VND,191,VND,556.9582634
1,VND,36,VND,557.2978181
1,VND,426,VND,565.5485133
1,VND,1006,FC,571.166652
1,VND,115,VND,571.166652
1,VND,31373,LMD,572.481172
1,VND,372,VND,587.0383766
1,VND,387,VND,597.9972093
1,VND,31470,LMD,603.01682
1,VND,400,VND,652.44911
1,VND,31410,LMD,654.0755709
1,VND,31419,LMD,671.9982586
1,VND,31367,LMD,676.3376839
1,VND,31366,LMD,682.1423897
1,VND,31465,LMD,688.2568191
1,VND,31424,LMD,694.4758367
1,VND,510,VND,714.3132543
1,VND,272,VND,723.3183912
1,VND,445,VND,723.6612254
1,VND,314,VND,727.7808399
1,VND,277,VND,761.9358067
1,VND,31405,LMD,775.4386814
1,VND,443,VND,785.8422072
1,VND,31467,LMD,786.0605229
1,VND,221,VND,794.561252
1,VND,31466,LMD,799.1557801
1,VND,31385,LMD,807.1154646
1,VND,340,VND,807.6347858
1,VND,1008,FC,808.7965697
1,VND,31422,LMD,817.2130791
1,VND,412,VND,820.5415917
1,VND,429,VND,822.7738626
1,VND,37,VND,827.3575543
1,VND,56,VND,834.4017172
1,VND,31439,LMD,837.6211974
1,VND,401,VND,839.9579128
1,VND,85,VND,840.8283023
1,VND,31329,LMD,872.7934465
1,VND,31393,LMD,898.3990801
1,VND,31400,LMD,909.1948875
1,VND,76,VND,914.4144927
1,VND,402,VND,914.5496709
1,VND,100,VND,914.7759831
1,VND,142,VND,917.4247186
1,VND,31369,LMD,925.9016563
1,VND,236,VND,926.3092571
1,VND,31353,LMD,942.4999812
1,VND,31474,LMD,950.3541081
1,VND,31427,LMD,959.4176885
1,VND,31357,LMD,966.4497891
1,VND,65,VND,1037.643416
1,VND,31477,LMD,1054.571931
1,VND,247,VND,1056.710234
1,VND,31354,LMD,1085.717113
1,VND,249,VND,1147.979146
1,VND,369,VND,1172.812961
1,VND,31360,LMD,1183.715716
1,VND,31476,LMD,1184.319416
1,VND,255,VND,1187.108198
1,VND,390,VND,1204.934832
1,VND,31420,LMD,1211.809326
1,VND,240,VND,1212.410037
1,VND,334,VND,1213.260536
1,VND,11,VND,1216.798188
1,VND,269,VND,1217.411269
1,VND,127,VND,1225.282841
1,VND,500,VND,1225.283096
1,VND,285,VND,1230.556843
1,VND,155,VND,1232.756494
1,VND,244,VND,1235.463029
1,VND,331,VND,1236.253356
1,VND,423,VND,1237.194162
1,VND,514,VND,1237.610809
1,VND,31359,LMD,1237.968539
1,VND,190,VND,1241.074501
1,VND,397,VND,1242.568771
1,VND,428,VND,1247.673497
1,VND,31445,LMD,1247.728156
1,VND,460,VND,1249.555536
1,VND,481,VND,1251.608418
1,VND,232,VND,1253.352882
1,VND,1002,FC,1255.917701
1,VND,82,VND,1255.917701
1,VND,95,VND,1256.348698
1,VND,301,VND,1257.149194
1,VND,145,VND,1259.217529
1,VND,341,VND,1264.380047
1,VND,286,VND,1267.204298
1,VND,265,VND,1277.091177
1,VND,31457,LMD,1277.60407
1,VND,512,VND,1298.946898
1,VND,31344,LMD,1315.93313
1,VND,31397,LMD,1317.747433
1,VND,31435,LMD,1320.457588
1,VND,80,VND,1325.582931
1,VND,81,VND,1340.025409
1,VND,479,VND,1340.179848
1,VND,111,VND,1348.722892
1,VND,394,VND,1352.867986
1,VND,1007,FC,1353.897475
1,VND,31438,LMD,1353.926995
1,VND,345,VND,1356.106069
1,VND,373,VND,1359.574057
1,VND,31448,LMD,1359.83416
1,VND,31380,LMD,1369.752469
1,VND,517,VND,1376.239699
1,VND,465,VND,1377.786475
1,VND,45,VND,1382.02951
1,VND,14,VND,1385.192991
1,VND,31437,LMD,1385.914626
1,VND,120,VND,1401.766854
1,VND,468,VND,1411.811313
1,VND,180,VND,1419.191601
1,VND,31473,LMD,1422.610992
1,VND,491,VND,1423.474713
1,VND,106,VND,1424.875442
1,VND,31421,LMD,1440.808652
1,VND,446,VND,1441.744258
1,VND,31459,LMD,1447.306816
1,VND,31413,LMD,1472.250784
1,VND,274,VND,1484.061107
1,VND,31460,LMD,1491.935751
1,VND,194,VND,1499.84749
1,VND,476,VND,1504.063719
1,VND,174,VND,1509.70483
1,VND,489,VND,1515.314446
1,VND,31350,LMD,1520.495809
1,VND,74,VND,1541.279884
1,VND,31330,LMD,1541.681658
1,VND,31411,LMD,1543.66384
1,VND,310,VND,1562.374728
1,VND,487,VND,1567.285801
1,VND,295,VND,1579.877851
1,VND,86,VND,1581.710207
1,VND,290,VND,1590.303196
1,VND,31362,LMD,1591.492131
1,VND,31475,LMD,1607.336116
1,VND,58,VND,1614.68978
1,VND,31356,LMD,1618.199632
1,VND,26,VND,1618.926893
1,VND,233,VND,1620.36176
1,VND,527,VND,1624.86379
1,VND,99,VND,1627.221765
1,VND,433,VND,1630.86055
1,VND,31453,LMD,1632.19728
1,VND,31394,LMD,1643.671879
1,VND,31402,LMD,1652.348478
1,VND,311,VND,1659.723831
1,VND,31398,LMD,1663.807044
1,VND,343,VND,1666.183373
1,VND,408,VND,1667.32689
1,VND,318,VND,1672.550638
1,VND,321,VND,1673.818598
1,VND,31347,LMD,1674.723883
1,VND,239,VND,1675.034851
1,VND,31383,LMD,1679.626611
1,VND,72,VND,1682.379115
1,VND,184,VND,1682.987356
1,VND,315,VND,1685.572087
1,VND,31368,LMD,1685.572087
1,VND,406,VND,1687.435291
1,VND,278,VND,1693.089577
1,VND,363,VND,1698.717601
1,VND,275,VND,1707.022753
1,VND,19,VND,1708.321151
1,VND,30,VND,1709.867922
1,VND,15,VND,1710.620001
1,VND,68,VND,1710.688355
1,VND,62,VND,1711.183012
1,VND,229,VND,1712.271097
1,VND,148,VND,1714.48149
1,VND,531,VND,1715.733537
1,VND,46,VND,1716.946695
1,VND,381,VND,1720.267315
1,VND,504,VND,1722.497121
1,VND,136,VND,1722.529364
1,VND,31332,LMD,1725.011397
1,VND,262,VND,1726.445444
1,VND,13,VND,1727.503996
1,VND,186,VND,1731.717816
1,VND,348,VND,1733.38104
1,VND,271,VND,1733.498501
1,VND,1005,FC,1733.591245
1,VND,283,VND,1736.976824
1,VND,346,VND,1738.216691
1,VND,118,VND,1739.160812
1,VND,141,VND,1740.375767
1,VND,306,VND,1741.505126
1,VND,64,VND,1742.572651
1,VND,456,VND,1749.699179
1,VND,508,VND,1755.57141
1,VND,336,VND,1761.286146
1,VND,204,VND,1764.407963
1,VND,105,VND,1766.375646
1,VND,31381,LMD,1773.598847
1,VND,367,VND,1776.433833
1,VND,31390,LMD,1783.503181
1,VND,31337,LMD,1792.898871
1,VND,92,VND,1796.805074
1,VND,5,VND,1797.170041
1,VND,40,VND,1797.437732
1,VND,475,VND,1802.417952
1,VND,144,VND,1806.469961
1,VND,150,VND,1811.754228
1,VND,89,VND,1818.214176
1,VND,442,VND,1826.157758
1,VND,493,VND,1827.927608
1,VND,273,VND,1828.682187
1,VND,31431,LMD,1833.956573
1,VND,29,VND,1834.893847
1,VND,84,VND,1835.433837
1,VND,31408,LMD,1835.791863
1,VND,91,VND,1839.556729
1,VND,444,VND,1844.178909
1,VND,31468,LMD,1845.730478
1,VND,503,VND,1851.633318
1,VND,281,VND,1853.177632
1,VND,31458,LMD,1854.918709
1,VND,31469,LMD,1854.956212
1,VND,392,VND,1855.327936
1,VND,31370,LMD,1856.043686
1,VND,362,VND,1856.238586
1,VND,53,VND,1876.800398
1,VND,223,VND,1876.994815
1,VND,98,VND,1883.362301
1,VND,31372,LMD,1886.778666
1,VND,501,VND,1890.502204
1,VND,71,VND,1893.108865
1,VND,51,VND,1895.495217
1,VND,49,VND,1898.338482
1,VND,376,VND,1899.311779
1,VND,50,VND,1903.83687
1,VND,416,VND,1906.011011
1,VND,470,VND,1906.383385
1,VND,467,VND,1906.640398
1,VND,96,VND,1907.822401
1,VND,327,VND,1913.198525
1,VND,77,VND,1913.441203
1,VND,383,VND,1914.938243
1,VND,168,VND,1925.716277
1,VND,159,VND,1926.282636
1,VND,395,VND,1927.622866
1,VND,270,VND,1929.110421
1,VND,31471,LMD,1929.14817
1,VND,215,VND,1931.818423
1,VND,418,VND,1933.275385
1,VND,201,VND,1933.972875
1,VND,31349,LMD,1935.027882
1,VND,31343,LMD,1937.511148
1,VND,1003,FC,1938.325189
1,VND,209,VND,1938.600757
1,VND,117,VND,1944.832014
1,VND,196,VND,1945.402551
1,VND,365,VND,1945.472352
1,VND,477,VND,1945.707294
1,VND,207,VND,1946.430327
1,VND,237,VND,1948.152933
1,VND,252,VND,1949.458994
1,VND,441,VND,1956.901386
1,VND,473,VND,1959.047101
1,VND,480,VND,1963.273885
1,VND,108,VND,1971.036099
1,VND,31436,LMD,1972.875851
1,VND,258,VND,1976.06614
1,VND,121,VND,1977.270101
1,VND,439,VND,1977.749991
1,VND,405,VND,1978.972976
1,VND,235,VND,1979.281772
1,VND,289,VND,1979.367758
1,VND,494,VND,1979.756531
1,VND,93,VND,1983.694958
1,VND,378,VND,1985.218428
1,VND,31352,LMD,1987.443246
1,VND,464,VND,1991.42609
1,VND,31429,LMD,1991.42681
1,VND,337,VND,1991.935366
1,VND,409,VND,1993.26033
1,VND,292,VND,1994.669318
1,VND,299,VND,1996.735743
1,VND,288,VND,1999.982685
1,VND,374,VND,2000.781029
1,VND,332,VND,2003.315121
1,VND,396,VND,2004.620933
1,VND,276,VND,2004.92449
1,VND,31443,LMD,2008.311047
1,VND,31384,LMD,2010.395856
1,VND,70,VND,2026.309692
1,VND,54,VND,2028.34094
1,VND,377,VND,2030.476864
1,VND,31444,LMD,2039.222449
1,VND,166,VND,2053.77469
1,VND,466,VND,2054.279366
1,VND,309,VND,2055.179824
1,VND,114,VND,2065.07234
1,VND,284,VND,2066.603525
1,VND,31428,LMD,2072.93473
1,VND,16,VND,2078.305738
1,VND,188,VND,2081.298239
1,VND,333,VND,2090.405458
1,VND,492,VND,2093.052213
1,VND,454,VND,2100.557493
1,VND,279,VND,2101.025177
1,VND,447,VND,2106.759875
1,VND,287,VND,2113.319397
1,VND,179,VND,2118.822854
1,VND,22,VND,2119.623046
1,VND,97,VND,2120.070242
1,VND,10,VND,2122.84954
1,VND,31364,LMD,2128.277838
1,VND,94,VND,2133.584574
1,VND,31346,LMD,2137.379839
1,VND,339,VND,2138.166599
1,VND,107,VND,2140.163282
1,VND,371,VND,2141.057701
1,VND,411,VND,2142.358755
1,VND,28,VND,2143.175086
1,VND,521,VND,2146.093482
1,VND,522,VND,2147.017108
1,VND,27,VND,2147.678993
1,VND,430,VND,2149.725085
1,VND,31365,LMD,2150.931356
1,VND,524,VND,2151.53441
1,VND,31335,LMD,2155.218607
1,VND,31401,LMD,2156.297109
1,VND,217,VND,2156.990529
1,VND,31430,LMD,2160.319103
1,VND,23,VND,2161.998016
1,VND,172,VND,2162.121961
1,VND,226,VND,2162.663092
1,VND,88,VND,2167.799729
1,VND,256,VND,2169.052258
1,VND,52,VND,2172.137129
1,VND,31379,LMD,2177.934098
1,VND,515,VND,2178.244899
1,VND,147,VND,2188.592975
1,VND,31340,LMD,2195.277097
1,VND,329,VND,2196.620276
1,VND,178,VND,2197.089181
1,VND,350,VND,2198.948116
1,VND,313,VND,2199.296859
1,VND,507,VND,2200.218195
1,VND,375,VND,2201.935535
1,VND,351,VND,2202.257958
1,VND,246,VND,2202.335895
1,VND,243,VND,2203.606837
1,VND,224,VND,2205.111108
1,VND,31387,LMD,2206.577866
1,VND,170,VND,2208.344417
1,VND,31463,LMD,2208.933637
1,VND,386,VND,2210.52557
1,VND,9,VND,2212.995591
1,VND,21,VND,2224.953216
