demandID,pathID,originID,dest1,arc1,arc1_type,arc1_dist,dest2,arc2,arc2_type,arc2_dist,dest3,arc3,arc3_type,arc3_dist,finalDest,varCost,wgt,pathDist,arcCt,directDist,sales,cogs,fixedTT,current_ODT,transitMode,w_hat,dirMode,dirCost,dirFreq
7441,1,3,31333,1575,VND->LMD,2494.4,0,0,0,0.0,0,0,0,0.0,31333,0.0,476.0,2494.4,1,2494.4,1762.96,599.65,6.5,11.0,LTL,4.5,1.0,778.69,1.0
7441,2,3,1001,1720,VND->FC,380.9,31333,163,FC->LMD,2389.5,0,0,0,0.0,31333,0.02,476.0,2770.4,2,2494.4,1762.96,599.65,6.2,11.0,LTL,4.8,0.0,0.0,0.0
7441,3,3,1004,1723,VND->FC,2328.3,31333,637,FC->LMD,197.9,0,0,0,0.0,31333,0.02,476.0,2526.2000000000003,2,2494.4,1762.96,599.65,5.2,11.0,LTL,5.8,0.0,0.0,0.0
7441,4,3,1006,1725,VND->FC,528.9,31333,953,FC->LMD,1965.7,0,0,0,0.0,31333,0.02,476.0,2494.6,2,2494.4,1762.96,599.65,6.5,11.0,LTL,4.5,0.0,0.0,0.0
7441,5,3,1001,1720,VND->FC,380.9,31333,163,FC->LMD,2389.5,0,0,0,0.0,31333,0.02,476.0,2770.4,2,2494.4,1762.96,599.65,5.0,11.0,TL,6.0,0.0,0.0,0.0
7441,6,3,1004,1723,VND->FC,2328.3,31333,637,FC->LMD,197.9,0,0,0,0.0,31333,0.02,476.0,2526.2000000000003,2,2494.4,1762.96,599.65,4.7,11.0,TL,6.3,0.0,0.0,0.0
7441,7,3,1006,1725,VND->FC,528.9,31333,953,FC->LMD,1965.7,0,0,0,0.0,31333,0.02,476.0,2494.6,2,2494.4,1762.96,599.65,4.6,11.0,TL,6.4,0.0,0.0,0.0
7441,8,3,1001,1720,VND->FC,380.9,1004,154,FC->FC,2208.0,31333,637,FC->LMD,197.9,31333,0.04,476.0,2786.8,3,2494.4,1762.96,599.65,5.7,11.0,LTL,5.3,0.0,0.0,0.0
7441,9,3,1001,1720,VND->FC,380.9,1004,154,FC->FC,2208.0,31333,637,FC->LMD,197.9,31333,0.04,476.0,2786.8,3,2494.4,1762.96,599.65,5.2,11.0,TL,5.8,0.0,0.0,0.0
7464,10,3,31334,1576,VND->LMD,2527.4,0,0,0,0.0,0,0,0,0.0,31334,0.0,972.0,2527.4,1,2527.4,2430.0,1357.54,6.5,11.0,LTL,4.5,1.0,1400.76,1.0
7464,11,3,1001,1720,VND->FC,380.9,31334,164,FC->LMD,2424.2,0,0,0,0.0,31334,0.02,972.0,2805.1,2,2527.4,2430.0,1357.54,7.2,11.0,LTL,3.8,0.0,0.0,0.0
7464,12,3,1004,1723,VND->FC,2328.3,31334,638,FC->LMD,233.3,0,0,0,0.0,31334,0.02,972.0,2561.6000000000004,2,2527.4,2430.0,1357.54,5.7,11.0,LTL,5.3,0.0,0.0,0.0
7464,13,3,1006,1725,VND->FC,528.9,31334,954,FC->LMD,1998.6,0,0,0,0.0,31334,0.02,972.0,2527.5,2,2527.4,2430.0,1357.54,6.5,11.0,LTL,4.5,0.0,0.0,0.0
7464,14,3,1001,1720,VND->FC,380.9,31334,164,FC->LMD,2424.2,0,0,0,0.0,31334,0.02,972.0,2805.1,2,2527.4,2430.0,1357.54,5.1000000000000005,11.0,TL,5.8999999999999995,0.0,0.0,0.0
7464,15,3,1004,1723,VND->FC,2328.3,31334,638,FC->LMD,233.3,0,0,0,0.0,31334,0.02,972.0,2561.6000000000004,2,2527.4,2430.0,1357.54,4.7,11.0,TL,6.3,0.0,0.0,0.0
7464,16,3,1006,1725,VND->FC,528.9,31334,954,FC->LMD,1998.6,0,0,0,0.0,31334,0.02,972.0,2527.5,2,2527.4,2430.0,1357.54,4.6,11.0,TL,6.4,0.0,0.0,0.0
7464,17,3,1001,1720,VND->FC,380.9,1004,154,FC->FC,2208.0,31334,638,FC->LMD,233.3,31334,0.04,972.0,2822.2000000000003,3,2527.4,2430.0,1357.54,6.2,11.0,LTL,4.8,0.0,0.0,0.0
7464,18,3,1001,1720,VND->FC,380.9,1004,154,FC->FC,2208.0,31334,638,FC->LMD,233.3,31334,0.04,972.0,2822.2000000000003,3,2527.4,2430.0,1357.54,5.2,11.0,TL,5.8,0.0,0.0,0.0
7442,19,3,31342,1584,VND->LMD,342.3,0,0,0,0.0,0,0,0,0.0,31342,0.0,572.0,342.3,1,342.3,1787.5,1375.0,1.5,6.0,LTL,4.5,1.0,271.01,1.0
7442,20,3,1001,1720,VND->FC,380.9,31342,172,FC->LMD,249.3,0,0,0,0.0,31342,0.02,572.0,630.2,2,342.3,1787.5,1375.0,2.2,6.0,LTL,3.8,0.0,0.0,0.0
7442,21,3,1001,1720,VND->FC,380.9,31342,172,FC->LMD,249.3,0,0,0,0.0,31342,0.02,572.0,630.2,2,342.3,1787.5,1375.0,1.2,6.0,TL,4.8,0.0,0.0,0.0
7465,22,3,31346,1588,VND->LMD,2197.9,0,0,0,0.0,0,0,0,0.0,31346,0.0,678.0,2197.9,1,2197.9,639.62,312.01,5.5,11.0,LTL,5.5,1.0,927.39,1.0
7465,23,3,1001,1720,VND->FC,380.9,31346,176,FC->LMD,2086.2,0,0,0,0.0,31346,0.02,678.0,2467.1,2,2197.9,639.62,312.01,6.2,11.0,LTL,4.8,0.0,0.0,0.0
7465,24,3,1004,1723,VND->FC,2328.3,31346,650,FC->LMD,135.9,0,0,0,0.0,31346,0.02,678.0,2464.2000000000003,2,2197.9,639.62,312.01,5.2,11.0,LTL,5.8,0.0,0.0,0.0
7465,25,3,1005,1724,VND->FC,1785.7,31346,808,FC->LMD,412.3,0,0,0,0.0,31346,0.02,678.0,2198.0,2,2197.9,639.62,312.01,4.7,11.0,LTL,6.3,0.0,0.0,0.0
7465,26,3,1001,1720,VND->FC,380.9,31346,176,FC->LMD,2086.2,0,0,0,0.0,31346,0.02,678.0,2467.1,2,2197.9,639.62,312.01,4.5,11.0,TL,6.5,0.0,0.0,0.0
7465,27,3,1004,1723,VND->FC,2328.3,31346,650,FC->LMD,135.9,0,0,0,0.0,31346,0.02,678.0,2464.2000000000003,2,2197.9,639.62,312.01,4.7,11.0,TL,6.3,0.0,0.0,0.0
7465,28,3,1005,1724,VND->FC,1785.7,31346,808,FC->LMD,412.3,0,0,0,0.0,31346,0.02,678.0,2198.0,2,2197.9,639.62,312.01,3.9000000000000004,11.0,TL,7.1,0.0,0.0,0.0
7465,29,3,1001,1720,VND->FC,380.9,1004,154,FC->FC,2208.0,31346,650,FC->LMD,135.9,31346,0.04,678.0,2724.8,3,2197.9,639.62,312.01,5.7,11.0,LTL,5.3,0.0,0.0,0.0
7465,30,3,1001,1720,VND->FC,380.9,1004,154,FC->FC,2208.0,31346,650,FC->LMD,135.9,31346,0.04,678.0,2724.8,3,2197.9,639.62,312.01,5.2,11.0,TL,5.8,0.0,0.0,0.0
7443,31,3,31351,1593,VND->LMD,65.7,0,0,0,0.0,0,0,0,0.0,31351,0.0,330.0,65.7,1,65.7,485.29,362.16,1.0,6.0,LTL,5.0,1.0,127.62,1.0
7443,32,3,1001,1720,VND->FC,380.9,31351,181,FC->LMD,376.6,0,0,0,0.0,31351,0.02,330.0,757.5,2,65.7,485.29,362.16,2.2,6.0,LTL,3.8,0.0,0.0,0.0
7443,33,3,1001,1720,VND->FC,380.9,31351,181,FC->LMD,376.6,0,0,0,0.0,31351,0.02,330.0,757.5,2,65.7,485.29,362.16,1.4,6.0,TL,4.6,0.0,0.0,0.0
7445,34,3,31362,1604,VND->LMD,1682.1,0,0,0,0.0,0,0,0,0.0,31362,0.0,293.0,1682.1,1,1682.1,542.59,350.06,4.5,11.0,LTL,6.5,1.0,408.58,1.0
7445,35,3,1001,1720,VND->FC,380.9,31362,192,FC->LMD,1536.6,0,0,0,0.0,31362,0.02,293.0,1917.5,2,1682.1,542.59,350.06,5.2,11.0,LTL,5.8,0.0,0.0,0.0
7445,36,3,1005,1724,VND->FC,1785.7,31362,824,FC->LMD,230.9,0,0,0,0.0,31362,0.02,293.0,2016.6,2,1682.1,542.59,350.06,4.7,11.0,LTL,6.3,0.0,0.0,0.0
7445,37,3,1006,1725,VND->FC,528.9,31362,982,FC->LMD,1164.6,0,0,0,0.0,31362,0.02,293.0,1693.5,2,1682.1,542.59,350.06,4.5,11.0,LTL,6.5,0.0,0.0,0.0
7445,38,3,1001,1720,VND->FC,380.9,31362,192,FC->LMD,1536.6,0,0,0,0.0,31362,0.02,293.0,1917.5,2,1682.1,542.59,350.06,3.5,11.0,TL,7.5,0.0,0.0,0.0
7445,39,3,1005,1724,VND->FC,1785.7,31362,824,FC->LMD,230.9,0,0,0,0.0,31362,0.02,293.0,2016.6,2,1682.1,542.59,350.06,3.7,11.0,TL,7.3,0.0,0.0,0.0
7445,40,3,1006,1725,VND->FC,528.9,31362,982,FC->LMD,1164.6,0,0,0,0.0,31362,0.02,293.0,1693.5,2,1682.1,542.59,350.06,3.1,11.0,TL,7.9,0.0,0.0,0.0
7445,41,3,1001,1720,VND->FC,380.9,1005,155,FC->FC,1683.2,31362,824,FC->LMD,230.9,31362,0.04,293.0,2295.0,3,1682.1,542.59,350.06,5.3,11.0,LTL,5.7,0.0,0.0,0.0
7445,42,3,1001,1720,VND->FC,380.9,1005,155,FC->FC,1683.2,31362,824,FC->LMD,230.9,31362,0.04,293.0,2295.0,3,1682.1,542.59,350.06,4.3,11.0,TL,6.7,0.0,0.0,0.0
7406,43,3,31365,1607,VND->LMD,2317.0,0,0,0,0.0,0,0,0,0.0,31365,0.0,1236.0,2317.0,1,2317.0,1670.27,1237.24,5.5,10.0,LTL,4.5,1.0,1610.88,1.0
